"Michigan NPDES CAFO (General, Individual, and No Potential to Discharge) Permits as of Dec. 31, 2016",,,,,,,,,,,,,,,,,,,,,
193,MIG010118,Rich Ro Farms,Rich Ro Farms/Rich Ro North-CAFO,8317 West Colony Road,NULL,Saint Johns,MI,48879,"  3,300 ",,,,,"  3,300 ","  40,236,145 "," $ 1,883,136 ",0,Clinton,SE Lake Michigan,4,
194,MIG010196,"Al Riedstra, dba Riedstra Dairy Ltd.",Riedstra Dairy-CAFO,55575 Frank Jones Road,NULL,Mendon,MI,49072,"  3,200 ",  200 ,,,,"  3,400 ","  261,282,150 "," $ 1,032,568 ",5,St. Joseph,SE Lake Michigan,6,"Al Riedstra, Riedstra Dary Ltd."
195,MIG010127,Keith Edward Hanenburg4,River Ridge Farms-CAFO,"15585 68th Avenue, 17228 72nd Ave.","6949 Osborn, Allendale,",Coopersville,MI,49404,,  420 ,,,,  420 ,"  1,132,785 ",,,Ottawa,SE Lake Michigan,2,"River Ridge - Johnson Farm; River Ridge Dairy Company, Incorporated; River Ridge Farms, Incorporated"
195,MIG010127,Keith Edward Hanenburg,River Ridge Farms-CAFO,"15585 68th Avenue, 17228 72nd Ave.","6949 Osborn, Allendale,",Coopersville,MI,49404,"  2,827 ",,,,,"  2,827 ","  2,020,568 "," $ 1,492,661 ",5,Ottawa,SE Lake Michigan,2,"River Ridge - Johnson Farm; River Ridge Dairy Company, Incorporated; River Ridge Farms, Incorporated"
196,MIG010132,"Dykhuis Farms, Inc.5",Riverbend-CAFO,1500 84th Ave.,NULL,Zeeland,MI,49464,,,"  3,705 ",,,"  3,705 ","  5,342,995 "," $ 804,645 ",0,Ottawa,SE Lake Michigan,2,
197,MIG010231,"Fred Walcott, Owner",Riverton Farm-CAFO,3430 Stiles Rd.,NULL,Scottville,MI,49454,,,"  8,000 ",,,"  8,000 ","  2,524,564 ",,0,Mason,NE Lake Michigan,2,
198,MI0058543,Robert Hardy & Sons,Robert Hardy & Sons-CAFO,1483 Lee Road,NULL,Saranac,MI,48881,,"  1,350 ",,,,"  1,350 ","  4,400,000 "," $ 1,002,430 ",0,Ionia,SE Lake Michigan,3,
199,MIG010223,Roger Stamp Farms,Roger Stamp Farms-CAFO,13753 Teasdale Lake Street,16693 Brownsville Road,Vandalia,MI,49095,,,"  7,000 ",,,"  7,000 ","  3,593,850 ",,1,Cass,SE Lake Michigan,6,
200,MIG010146,Merle Coffey,Rolling Acres Dairy-CAFO,2748 30th Street,NULL,Allegan,MI,49010,"  1,315 ",,,,,"  1,315 ","  6,928,265 "," $ 603,605 ",3,Allegan,SE Lake Michigan,6,
201,MI0059207,Jake Zwemmer,Roto-Z Dairy LLC-CAFO,3309 Vatter Road,NULL,Snover,MI,48472,"  3,480 ",,,,,"  3,480 ","  22,144,205 ",,2,Sanilac,Saginaw,10,Roto-Z Dairy Mushroom Rd.
202,MIG010007,Mervyn Roundtree,Roundtree Dairy Farms-CAFO,3232 Farver Road,NULL,Pigeon,MI,48755,"  1,280 ",,,,,"  1,280 ","  17,538,928 "," $ 177,244 ",1,Huron,SW Lake Huron,10,
203,MIG010159,Mervyn Roundtree,Roundtree Dairy Hartsell-CAFO,4881 Hartsell Rd.,NULL,Owendale,MI,48754,"  1,241 ",,,,,"  1,241 ","  5,359,578 ",,0,Huron,SW Lake Huron,10,"Mervyn Roundtree Hartsell, Mervyn Roundtree Hartsell Rd., Roundtree Dairy, Roundtree Dairy - Grant Twp."
204,MIG010152,Rudat Farms,Rudat Farms-CAFO,11440 Stone Road,NULL,Fowler,MI,48835,"  1,800 ",,,,,"  1,800 ","  4,300,000 ",,4,Clinton,SE Lake Michigan,4,
205,MIG010253,Ruggles Beef Farms,Ruggles Beef Farms,5721 E. Sanilac Rd.,NULL,Kingston,MI,48741,,"  1,450 ",,,,"  1,450 ","  5,460,197 "," $ 1,081,648 ",2,Tuscola,Saginaw,10,
206,MIG010010,Ryzebol Dairy,Ryzebol Dairy-CAFO,2190 N Squires Rd,NULL,Bailey,MI,49303,"  3,500 ",,,,,"  3,500 ","  21,241,000 ",,3,Newaygo,NE Lake Michigan,2,
207,MIG010138,Sand Creek Dairy LLC,Sand Creek Dairy LLC-CAFO,1045 Soloman Rd.,NULL,Hastings,MI,49058,"  1,650 ",,,,,"  1,650 ","  18,062,412 "," $ 637,503 ",0,Barry,SE Lake Michigan,3,
208,MIG010169,Sandy Ridge/Steve Thelen,Sandy Ridge Dairy-CAFO,3901 North Jefferson,NULL,Ionia,MI,48846,  960 ,,,,,  960 ,"  11,912,626 ",,0,Ionia,SE Lake Michigan,3,
209,MIG010106,Scenic View Dairy6,Scenic View-CAFO,1530 and 1510 62nd Street,NULL,Fennville,MI,49408,,,"  10,300 ",,,"  10,300 ","  3,398,513 ",,,Allegan,SE Lake Michigan,6,Scenic View Dairy 1
209,MIG010106,Scenic View Dairy,Scenic View-CAFO,1530 and 1510 62nd Street,NULL,Fennville,MI,49408,"  4,780 ",,,,,"  4,780 ","  26,053,598 "," $ 859,286 ",3,Allegan,SE Lake Michigan,6,Scenic View Dairy 1
210,MI0058412,Calvin Schipper,Schipper Eggs LLC-CAFO,4852 142nd Avenue,NULL,Holland,MI,49423,,,,"  1,522,000 ",,"  1,522,000 ","  5,752,048 "," $ 807,632 ",3,Allegan,SE Lake Michigan,6,"Schipper Poultry, Schipper Poultry Farm"
211,MIG010033,Schneider Dairy Farm,Schneider Dairy/Rich Ro South-CAFO,1982 S Wacousta Rd,NULL,Saint Johns,MI,48879,"  2,000 ",,,,,"  2,000 ","  22,921,687 ",,0,Clinton,SE Lake Michigan,4,"Schneider Dairy Farm, Schneider Dairy-CAFO"
212,MIG010049,Gene Schuring,Schuring Farms-CAFO,3971 Hayes Road,NULL,Muir,MI,48860,,,"  6,200 ",,,"  6,200 ","  1,622,015 "," $ 85,500 ",0,Ionia,SE Lake Michigan,3,
213,MIG010098,Scott  D. McKenzie,Scott McKenzie Farms-CAFO,12019 Pioneer Street,NULL,Marcellus,MI,49067,,,"  6,532 ",,,"  6,532 ","  4,394,698 "," $ 10,912 ",1,Cass,SE Lake Michigan,6,
214,MIG010117,Chuck Brink,Seldom Rest Hog Farm LLC-CAFO,4098 146th Ave.,NULL,Holland,MI,49423,,,"  5,400 ",,,"  5,400 ","  1,605,400 "," $ 314,031 ",0,Allegan,SE Lake Michigan,6,
215,MIG010074,"Dykhuis Farms, Inc.5",Shamrock-CAFO,11888 42nd St.,NULL,Scotts,MI,49088,,,"  7,730 ",,,"  7,730 ","  2,887,500 ",,0,Kalamazoo,SE Lake Michigan,6,Dykhuis
216,MIG010153,Sharrard Farms LLC,Sharrard Farms LLC-CAFO,5185 Farr Rd,NULL,Peck,MI,48466,"  1,770 ",,,,,"  1,770 ","  11,889,386 "," $ 532,934 ",2,Sanilac,St. Clair-Detroit,10,
217,MIG010066,Brian McKenzie,Shattuck Rd Finishers-CAFO,56600 Shattuck Road,NULL,Vandalia,MI,49095,,,"  4,400 ",,,"  4,400 ","  971,320 ",,1,Cass,SE Lake Michigan,6,
218,MIG010224,Shupe Dairy Incorporated,Shupe Dairy Inc-CAFO,1861 North Pinnebog Road,NULL,Elkton,MI,48731,"  1,175 ",,,,,"  1,175 ","  6,238,237 "," $ 177,245 ",1,Huron,SW Lake Huron,10,
219,MIG010228,"Blaine Block, Owner",Side Street Pork-CAFO,4843 North Johnson,NULL,Weidman,MI,48893,,  10 ,"  4,800 ",,,"  4,810 ","  1,200,000 ",,0,Isabella,Saginaw,4,
220,MIG010178,Simon Dairy Farm,Simon Dairy Farm-CAFO,11982 Maple Rd,11982 Maple Rd.,Westphalia,MI,48894,"  1,750 ",,,,,"  1,750 ","  10,353,012 ",,1,Ionia,SE Lake Michigan,3,
221,MIG010003,Skinner Farms LLC,Skinner Farms-CAFO,12925 West Gratiot Rd,NULL,Hubbardston,MI,48845,,,"  8,000 ",,,"  8,000 ","  2,400,000 ",,1,Clinton,SE Lake Michigan,4,
222,MIG010204,Allen Slater,Slater Farms-CAFO,7374 Brunswick Rd,NULL,Holton,MI,49425,"  1,430 ",,,,,"  1,430 ","  13,635,400 "," $ 873,107 ",5,Newaygo,NE Lake Michigan,2,Slater Dairy
223,MIG010249,"Nate Karnemaat, Sol Vista",Sol Vista-CAFO,"1000 ft East of N Comstock Ave At the end of 7 Mile Road, Newaygo County, Beaver Township, Sec. 33",NULL,NULL,MI,NULL,,,"  4,300 ",,,"  4,300 ","  1,845,203 ",,0,Newaygo,NE Lake Michigan,2,
224,MIG010256,Spartanwood LLC,Spartanwood-CAFO,~444 Slisher Road,NULL,Bronson,MI,49028,,,"  6,358 ",,,"  6,358 ","  5,770,000 ",,0,Branch,SE Lake Michigan,7,
225,MIG010247,"Sam Davis, Stamp Finishers",Stamp Finishers-CAFO,Withers St.,NULL,Jones,MI,49061,,,"  4,800 ",,,"  4,800 ","  2,058,000 ",,0,Cass,SE Lake Michigan,6,
226,MIG010024,Gary Gallup,State Line Farms-CAFO,11387 M 156,NULL,Morenci,MI,49256,,,"  4,000 ",,,"  4,000 ","  1,552,000 "," $ 4,750,144 ",0,Lenawee,W Lake Erie,7,
227,MIG010080,Steenblik Dairy Inc,Steenblik Dairy Inc-CAFO,3844 N Hubbardston Rd,NULL,Pewamo,MI,48873,"  6,450 ",,,,,"  6,450 ","  24,740,964 "," $ 1,203,005 ",3,Clinton,SE Lake Michigan,4,
228,MIG010021,Caleb Stewart,Stewart Farms-CAFO,7596 Wilson Rd,11243 South Ransom Road,Bannister,MI,48807,,,"  5,000 ",,,"  5,000 ","  2,510,000 ",,0,Gratiot,SE Lake Michigan,4,Stewart Farms LLC
229,MIG010201,Stoneman Cattle Incorporated,Stoneman Cattle-CAFO,5510 North McClelland Road,NULL,Breckenridge,MI,48615,,"  4,000 ",,,,"  4,000 ","  5,500,000 ",,1,Gratiot,Saginaw,4,
230,MIG010032,Storey Farms LLC,Storey Farms LLC-CAFO,1650 6 Mile Road,NULL,Remus,MI,49340,,,"  4,000 ",,,"  4,000 ","  1,540,684 "," $ 67,770 ",5,Mecosta,Saginaw,4,
231,MI0059636,Stutzman Poultry Farms LLC,Stutzman Poultry-Graber-CAFO,20202 Walt Road,NULL,White Pigeon,MI,49099,,,,"  270,000 ",,"  270,000 ","  238,434 "," $ 23,884 ",0,St. Joseph,SE Lake Michigan,6,"Graber Farm, Stutzman Poultry"
232,MIG010095,"Suburban Farms, Inc",Suburban Farms-CAFO,8455 E. Schaeffer Road,NULL,Muir,MI,48868,,,"  4,000 ",,,"  4,000 ","  2,200,000 ",,0,Ionia,SE Lake Michigan,3,"Suburban Farms, Inc."
233,MI0058419,"Richard Patmos, William Patmos",Sunrise Acres LLC-Byron-CAFO,2929 Byron Road,NULL,Hudsonville,MI,49426,,,,"  2,446,000 ",,"  2,446,000 ","  5,759,518 ",,0,Ottawa,SE Lake Michigan,2,"Sunrise Acres Egg-Byron; Sunrise Acres LLC; Sunrise Acres, Inc"
234,MIG010052,"Swisslane Farms, Incorporated",Swisslane Farms-CAFO,12877 84th St.,NULL,Alto,MI,49302,"  4,490 ",,,,,"  4,490 ","  34,238,505 "," $ 1,373,751 ",3,Kent,SE Lake Michigan,3,"Swisslane Farms, Incorporated"
235,MIG010126,T & H Dairy,T & H Dairy-CAFO,3024 N. Wright Rd.,NULL,Fowler,MI,48835,"  1,430 ",,,,,"  1,430 ","  9,596,592 "," $ 745,516 ",1,Clinton,SE Lake Michigan,4,"Ken Halfman, Steve Thelen"
236,MIG010218,Tim Miller,T Miller-East/West Barns-CAFO,11254 State Line Rd,West - 10916 State Line Road,White Pigeon,MI,49099,,,"  4,400 ",,,"  4,400 ","  3,015,250 "," $ 412,327 ",1,St. Joseph,SE Lake Michigan,6,Tim Miller - East and West Barns
237,MIG010005,Te Voortwis Dairy,Te Voortwis Dairy-CAFO,3800 Stein Rd,NULL,Bad Axe,MI,48413,"  4,000 ",,,,,"  4,000 ","  25,294,518 "," $ 338,933 ",0,Huron,SW Lake Huron,10,Te Voortwis Dairy LLC
238,MIG010061,Terrehaven Farms,Terrehaven Farm - CAFO,3007 Wolf Creek Hwy,NULL,Adrian,MI,49221,"  4,000 ",,,,,"  4,000 ","  7,783,133 "," $ 222,834 ",7,Lenawee,W Lake Erie,7,James A Bleecker
239,MIG010190,"Randy Poll (Poll Farms, Inc.)",Timmerman Farms-CAFO,4073 52nd St.,NULL,Holland,MI,49423,,,"  4,000 ",,,"  4,000 ","  679,000 "," $ 641,682 ",0,Allegan,SE Lake Michigan,6,
240,MINPTD015,Trestle Town Turkeys2,Trestle Town Turkeys-CAFO,3376 47th St.,NULL,Hamilton,MI,49419,,,,,"  64,000 ","  64,000 ","  1,985,301 "," $ 44,135 ",0,Allegan,SE Lake Michigan,6,
241,MIG010235,Trierweiler Dairy Incorporated,Trierweiler Dairy Inc-CAFO,9123 South Grange Road,NULL,Westphalia,MI,48894,"  1,200 ",,,,,"  1,200 ","  13,927,711 ",,0,Clinton,SE Lake Michigan,4,
242,MIG010057,Cory Trott,Triple T Farms-CAFO,7591 Abbot Road,NULL,Reading,MI,49274,,,"  4,200 ",,,"  4,200 ","  790,000 "," $ 191,556 ",3,Hillsdale,W Lake Erie,7,
243,MIG010215,Kurt Tubergen,Tubergen Dairy Farm-CAFO,1689 Bugbee Road,NULL,Ionia,MI,48846,"  1,050 ",,,,,"  1,050 ","  3,108,622 "," $ 384,762 ",0,Ionia,SE Lake Michigan,3,Tubergen Dairy Farm LLC
244,MIG010081,Russ Walcott,Valley View Pork-CAFO,5701 North Maple Island Drive,NULL,Walkerville,MI,49459,,,"  23,541 ",,,"  23,541 ","  15,036,570 "," $ 944,647 ",0,Oceana,NE Lake Michigan,2,
245,MINPTD013,Brandon and Darren Van Elst2,Van Elst Brothers-CAFO,11875 Ralph Road,NULL,Lake Odessa,MI,48849,,,"  4,525 ",,,"  4,525 ","  2,200,000 "," $ 23,980 ",0,Ionia,SE Lake Michigan,3,Van Elst Brothers LLC
246,MIG010092,Vanderploeg Holsteins L.L.C.,Vanderploeg Holsteins-CAFO,1223 South Begole Road,NULL,Ithaca,MI,48847,"  4,150 ",,,,,"  4,150 ","  33,000,000 "," $ 80,308 ",3,Gratiot,SE Lake Michigan,4,
247,MIG440006,VDS Farms LLC,VDS Farms-Fulton-CAFO,14461 South 44th Street,NULL,Fulton,MI,49052,"  3,875 ",,,,,"  3,875 ","  35,996,675 ",,6,Kalamazoo,SE Lake Michigan,6,
248,MIG440007,VDS Farms LLC,VDS Farms-S Avenue-CAFO,8426 East S Avenue,NULL,Scotts,MI,49088,"  2,032 ",,,,,"  2,032 ","  17,438,241 ",,6,Kalamazoo,SE Lake Michigan,6,
249,MIG010213,Veddler Dairy Farm Incorporated,Veddler Dairy Farms-CAFO,7295 Himba Road,NULL,Marion,MI,49665,"  2,017 ",,,,,"  2,017 ","  9,858,062 "," $ 924,057 ",2,Osceola,NE Lake Michigan,4,"North, South and Van Polen Farms"
250,MIG010121,Robert Veld,Veld Farms-CAFO,3750 14th Street,NULL,Wayland,MI,49348,,,"  7,000 ",,,"  7,000 ","  3,201,950 "," $ 506,465 ",0,Allegan,SE Lake Michigan,6,
251,MIG010122,"Dykhuis Farms, Inc.5",Village Centrl Sandy Rdge-CAFO,4252 48th St.,NULL,Holland,MI,49423,,,"  14,395 ",,,"  14,395 ","  13,616,500 ",,0,Allegan,SE Lake Michigan,6,
252,MIG010044,W.A. Herford & Sons,W A Herford & Sons - CAFO,1557 N. Elkton Rd,"387 North Farver Road, 1557 N. Elkton Rd.",Elkton,MI,48731,"  2,980 ",,,,,"  2,980 ","  6,340,964 ",,0,Huron,SW Lake Huron,10,"Jack's Farm, Jim's Farm, W.A. Herford & Sons Home farm (Bill's)"
253,MIG010063,"Walnutdale Farms, LLC",Walnutdale Farms Dorr Twp-CAFO,4309 14th Street,NULL,Wayland,MI,49348,"  1,600 ",,,,,"  1,600 ","  14,675,129 "," $ 1,284,720 ",7,Allegan,SE Lake Michigan,6,"Walnutdale Farms, Incorporated; Walnutdale Farms LLC"
254,MIG010244,Brian Washburn,Washburn Farms-CAFO,"500 ft. west of North Vincent Rd and 1,390 ft. north of",West Allan Rd,Elsie,MI,48831,,,"  4,800 ",,,"  4,800 ","  1,896,240 ",,0,Shiawassee,Saginaw,4,
255,MIG010252,"Arnold Weaver, Weaverland Farms",Weaverland Farms-CAFO,570 North Townline Rd,NULL,Sandusky,MI,48471,"  1,340 ",,,,,"  1,340 ","  8,876,775 "," $ 48,814 ",5,Sanilac,St. Clair-Detroit,10,Nelson Weaver
256,MIG010248,"Allen Weber, Weber Dairy Farm, LLC",Weber Farms-CAFO,1732 North 8 Mile Rd,NULL,Pinconning,MI,48650,  685 ,,,,,  685 ,"  5,112,530 "," $ 715,522 ",1,Bay,SW Lake Huron,5,
257,MI0059093,Wheeler Dairy LLC,Wheeler Dairy LLC-CAFO,Ransom and North County Line Road,NULL,Breckenridge,MI,48615,"  3,400 ",,,,,"  3,400 ","  37,000,000 ",,3,Gratiot,Saginaw,4,
258,MIG010147,Edward Hanenburg,White Acres Turkey Farm-CAFO,15672 76th Avenue,NULL,Coopersville,MI,49404,,,,,"  82,500 ","  82,500 ","  48,705 ",,0,Ottawa,SE Lake Michigan,2,"White Acres 2; White Acres Turkey Farm, LLC; White Acres, LLC"
259,MIG010187,William White,White Farms-CAFO,13160 Lime Lake Rd,13201 Tamarack Road,Hudson,MI,49247,,,"  6,395 ",,,"  6,395 ","  3,466,000 "," $ 824,823 ",2,Hillsdale,W Lake Erie,7,
260,MIG01087,"Whitmore Operations, Inc.",Whitmore Operations-CAFO,2556 South Crapo Road,NULL,Ithaca,MI,48847,"  2,530 ",,,,,"  2,530 ","  15,855,422 "," $ 737,671 ",0,Gratiot,Saginaw,4,"Whitmore Operations, Inc."
261,MIG440027,Wil-Le Farms Incorporated,Wil-Le Farms-CAFO,1484 North VanDyke Road,NULL,Bad Axe,MI,48413,,"  6,381 ",,,,"  6,381 ","  15,590,361 "," $ 4,585 ",2,Huron,SW Lake Huron,10,
262,MIG010114,Jeff Taylor - Willow Creek Farms,Willow Creek Farms-CAFO,305 E Roosevelt,NULL,Ashley,MI,48806,,,"  6,200 ",,,"  6,200 ","  3,000,000 ",,2,Gratiot,SE Lake Michigan,4,"CT Barns-Perrinton, KT Barns-Ashley"
263,MIG010259,"Robert den Dulk, Willow Point Dairy, LLC",Willow Point Dairy-CAFO,5301 Flannigan Rd.,NULL,"Orleans, MI",MI,48865,"  3,495 ",,,,,"  3,495 ","  24,433,445 "," $ 24,275 ",0,Ionia,SE Lake Michigan,3,"Liberty Dairy, Willow Point Dairy LLC"
264,MIG010145,Winkel Dairy,Winkel Dairy-CAFO,1910 E. Meyering Road,NULL,Marion,MI,49665,"  2,000 ",,,,,"  2,000 ","  9,142,267 "," $ 840,935 ",3,Missaukee,NE Lake Michigan,4,
265,MIG010266,"Jake Wirth, Wirth Farms, LLC",Wirth Dairy Farm-CAFO,8335 80th Ave.,NULL,Evart,MI,49631,"  1,840 ",,,,,"  1,840 ","  8,368,946 ",,0,Osceola,NE Lake Michigan,4,
266,MIG010237,Y B Farmin LLC,Y B Farmin LLC-CAFO,1066 Mendon Rd,NULL,Athens,MI,49011,,,"  4,900 ",,,"  4,900 ","  851,792 ",,0,Branch,SE Lake Michigan,7,
267,MIG010194,Yankee Springs Dairy Farm,Yankee Springs Dairy-CAFO,12800 Bass Road,NULL,Middleville,MI,49333,  670 ,,,,,  670 ,"  5,500,000 "," $ 268,488 ",7,Barry,SE Lake Michigan,3,Yankee Springs Dairy Farm
268,MIG010265,"Sam Yonkman, Yonkman Dairy Farm LLC",Yonkman Dairy Farm LLC - CAFO,10851 West Strief Road,NULL,McBain,MI,49657,"  1,129 ",,,,,"  1,129 ","  9,854,159 "," $ 660,204 ",0,Missaukee,NE Lake Michigan,4,
269,MI0058386,"Zoet Poultry, Incorporated",Zoet Poultry-CAFO,4847 140th Ave.,NULL,Holland,MI,49423,,,,"  1,000,000 ",,"  1,000,000 ","  2,254,699 "," $ 568,444 ",0,Allegan,SE Lake Michigan,6,Zoet Poultry Incorporated
270,MIG010197,Jake Zwemmer,Z-Star-CAFO,4370 Limerick Rd,NULL,Caseville,MI,48725,"  3,490 ",,,,,"  3,490 ","  42,090,036 ",,0,Huron,SW Lake Huron,10,"Z-Star Dairy LLC, Z-Star LLC Dairy"
271,MIG010135,Jacob Zwagerman,Zwagerman Farms-CAFO,790 Schoenher Rd.,NULL,Custer,MI,49405,,,"  4,000 ",,,"  4,000 ","  2,524,564 ",,1,Mason,NE Lake Michigan,2,
272,MIG010004,Zwemmer Dairy LLC,Zwemmer Dairy-CAFO,3261 Berne Rd,NULL,Elkton,MI,48755,"  3,490 ",,,,,"  3,490 ","  47,072,802 "," $ 132,458 ",1,Huron,SW Lake Huron,10,
,,,,,,,,,,,,,,,,,,,,,
,,TOTALS,,,,,,,"  311,553 ","  43,327 ","  637,934 ","  18,898,149 ","  749,874 ","  20,640,837 ","  3,348,566,912 "," $ 103,861,110 ",  644 ,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
FOOTNOTES:,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"* Subsidies and violations were tracked according to the site itself, which may have had several owners over the years; those owners and all the names that subsidies and violations were received under, combined, are shown with that site, listed in the last column of the spreadsheet.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"1Crockery Creek Turkey Farm, LLC, received $314,471 for their 74th St. and 80th St. facilities combined",,,,,,,,,,,,,,,,,,,,,
2No Permit to Discharge Determination Granted by MDEQ; farm information may be outdated,,,,,,,,,,,,,,,,,,,,,
3NVF subsidies & violations listed in dairy entry,,,,,,,,,,,,,,,,,,,,,
4River Ridge subsidies & violations listed in dairy entry,,,,,,,,,,,,,,,,,,,,,
"5Dykhius Farms, Inc. received $804,645 for Riverbend, Shamrock, and Village Centrl Sandy Ridge combined",,,,,,,,,,,,,,,,,,,,,
6Scenic View subsidies & violations listed in dairy entry,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Conversions:,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
tons to gals.:  (*2000)/8.3,,,,,,,,,,,,,,,,,,,,,
c.f. to gals.: *7.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,,,,,,,,
"http://archive.lib.msu.edu/DMC/extension_publications/MM6/MM6.pdf, ""Worksheet to Calculate Manure Spreader Capacities"", MSU Cooperative Extension Service, Manure Management.  Lee W. Jacobs, Bruce A. MacKeller, Crop and Soil Sciences, April, 1995.  p. 1",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
DATA SOURCES:,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Farm Data including violations:  MDEQ MIWaters database.  Profiles; 2015 CAFO Annual Reports, due Apr. 1, 2016; 2015/2016 manure production reports, 2015/2016 NPDES CAFO new applications and permit renewal applications; 2015/2016 Comprehensive Nutrient Management Plans (CNMPs) https://miwaters.deq.state.mi.us/miwaters/#/external/home",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"NPDES Permit Inventory as of November, 2016: http://www.michigan.gov/deq/0,4561,7-135-3313_72753-10780--,00.html",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Subsidies:  Environmental Working Groups Farm Subsidy Database https://farm.ewg.org/?_ga=1.70764243.250448904.1489451193,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Freedom of Information Act Requests to MDEQ Water Resources Division staff dated 7.1.2016, 7.7.2016, 7.10.2016, 1.20.2017, 1.22.2017",,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
DISCLAIMER:,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"This project is only as robust as the data it is based on, and there is reason to believe that not all instances of CAFO pollution that come to the attention of agency regulators are officially recorded, nor were all CAFO permit records viewable to the public, in the MDEQ MIWaters database at the time the records were searched.   The project authors and the members of the Less = More Coalition make no guarantee of accuracy and are not responsible for any errors.",,,,,,,,,,,,,,,,,,,,,