,Facility Name,Address,City,County,State,Zip,Township,Watershed,Animal 1 Species,Animal 1 Count,Animal 2 Species,Animal 2 Count,Animal Units
0,Anderson Farms,9000 Greenville Road,Sidney,Shelby,OH,45365,Turtle Creek,05080001 - Upper Great Miami,Swine - over 55 lbs,3840,Beef,80.0,422.44224422442244
1,Arnold Road Farm,7410 Arnold Road ,Greenville,Darke,OH,45441,Greenville,05080001 - Upper Great Miami,Swine - over 55 lbs,8000,,,880.0880088008801
2,Bernath Farms 1 and 2,8641 C. Rd. 18,Wauseon,Fulton,OH,43567,Dover,04100006 - Tiffin,Swine - over 55 lbs,5000,,,550.05500550055
3,Bob Sinn Swine,15250 Rd. 24,Grover Hill,Paulding,OH,45849,Latty,04100007 - Auglaize,Swine - over 55 lbs,4800,,,528.0528052805281
4,Bowersock Pork,03097 State Route 197,Spencerville,Auglaize,OH,45887,Salem,04100004 - St. Marys,Swine - over 55 lbs,4800,Beef,20.0,528.0528052805281
5,Boyer Farms,1974 C.R. 161,Oak Harbor,Ottawa,OH,43449,Harris,04100010 - Cedar-Portage,Swine - over 55 lbs,4800,,,528.0528052805281
6,Bruce Rosswurm Swine Farm,5100 Road 59,Payne,Paulding,OH,45880,Blue Creek,04100007 - Auglaize,Swine - over 55 lbs,4800,,,528.0528052805281
7,Bussey Finishers,4435 Clark Station Road,Greenville,Darke,OH,45331,Liberty,05080001 - Upper Great Miami,Swine - over 55 lbs,4800,,,528.0528052805281
8,"C W Farms, LLC",3347 Mentzer Road,Convoy,Van Wert,Ohio,45832,Tully,04100007 - Auglaize,Swine - over 55 lbs,6500,,,715.0715071507151
9,Canal Farm,4486 Road 197,Cloverdale,Paulding,OH,45827,Washington,04100007 - Auglaize,Swine - over 55 lbs,3582,,,394.05940594059405
10,"CJR Poultry & Swine, Inc. Swine Facility",4064 State Route 705,New Weston,Darke,OH,45348,Allen,05120101 - Upper Wabash,Swine - over 55 lbs,3840,,,422.44224422442244
11,CL Farm,155 Miami-Shelby West Road,Russia,Shelby,OH,45363,Loramie,05080001 - Upper Great Miami,Swine - over 55 lbs,4000,,,440.04400440044003
12,Creek View Farm,9257 S.R. 613,Paulding,Paulding,OH,45879,Paulding,04100007 - Auglaize,Swine - over 55 lbs,4800,,,528.0528052805281
13,CT Farms/Clover Four Inc.,7174 Four Clover Rd.,Celina,Mercer,OH,45822,Franklin,05120101 - Upper Wabash,Slaughter-Feeder-Heifer,600,Swine - over 55 lbs,3400.0,374.03740374037403
14,"DEAM Hog, LLC",9600 N. Rangeline Road,Covington,Miami,OH,45318,Newberry,05080001 - Upper Great Miami,Swine - over 55 lbs,4400,,,484.04840484048407
15,Deer Run Farm,17501 Road 60,Grover Hill,Paulding,OH,45849,Latty,04100007 - Auglaize,Swine - over 55 lbs,3500,,,385.03850385038504
16,"Del-Rod Farms, LLC",16614 County Road 16,Pioneer,Williams,Ohio,43554,Madison,04100003 - St. Joseph,Swine - over 55 lbs,5000,,,550.05500550055
17,Dirmeyer Farms LLP,13149 Oswalt Good Road,Fort Recovery,Darke,OH,45846,Mississinawa,05120103 - Mississinewa,Swine - over 55 lbs,3840,,,422.44224422442244
18,Dull Homestead Inc.,10404 National Road,Brookville,Montgomery,OH,45309,Clay,05080002 - Lower Great Miami,Swine - over 55 lbs,4534,Swine - under 55 lbs,1700.0,685.8085808580859
19,Ed Bowman Swine Farm,3276 Orphans Road,Eldorado,Preble,OH,45321,Washington,05080002 - Lower Great Miami,Swine - over 55 lbs,9200,,,1012.1012101210122
20,"Fenstermaker Farms, Inc.",1799 Road H,Leipsic,Putnam,OH,45856,Blanchard,04100009 - Lower Maumee,Swine - over 55 lbs,6780,Swine - under 55 lbs,2400.0,1009.90099009901
21,"Fine Oak Farms, LLC (formerly Gill Livestock)",3180 Davis Road,London,Madison,OH,43140,Union,05060002 - Lower Scioto,Swine - over 55 lbs,3200,,,352.035203520352
22,"Fine Swine LLC, Lucasville Sow Unit",1136 Coldicott Hill Road,Lucasville,Pike,OH,45648,Camp Creek,05060002 - Lower Scioto,Swine - over 55 lbs,4032,,,443.56435643564356
23,"Flax Farms (formerly Gain and Grain Farm, Inc.",1999 Brighton Rd.,London,Madison,OH,43140,Union,05060002 - Lower Scioto,Swine - over 55 lbs,2000,Swine - under 55 lbs,1000.0,330.03300330033005
24,Fox Tail,9496 Jericho Road,Hicksville,Defiance,OH,43526,Mark,04100005 - Upper Maumee,Swine - over 55 lbs,3675,,,404.2904290429043
25,Fraver Farms,10218 W. County Rd. 60,Fostoria,Seneca,OH,44830,Loudon,04100011 - Sandusky,Swine - over 55 lbs,4000,,,440.04400440044003
26,GJD (formerly Porky's),00143 Southland Road,New Breman,Auglaize,OH,45869,St.Marys,05120101 - Upper Wabash,Swine - over 55 lbs,4000,,,440.04400440044003
27,"Goebel Pork, LLC",05870 County Road 23-50,Stryker,Williams,OH,43557,Springfield,04100006 - Tiffin,Swine - over 55 lbs,4550,,,500.55005500550055
28,Grand Republic,06684 US Highway 6,Edgerton,Williams,OH,43517,St. Joseph,04100003 - St. Joseph,Swine - over 55 lbs,7350,,,808.5808580858086
29,Hatcher Farms,995 Shafer Rd. (Not a mailing address),Bucyrus,Crawford,OH,44820,Holmes,04100011 - Sandusky,Swine - over 55 lbs,4650,,,511.55115511551156
30,Hathaway Farms,8553 Quaker Rd.,Fredericktown,Knox,OH,43019,Middlebury,05040003 - Walhonding,Swine - over 55 lbs,4800,,,528.0528052805281
31,Hefner's Dola Swine Farm,3507 Washington Twp Road 105,Dola,Hardin,OH,45835,Washington,04100007 - Auglaize,Swine - over 55 lbs,4200,,,462.04620462046205
32,"Heitbrink Swine Farm, LLC",1623 Minster-Egypt Pike,Minster,Auglaize,OH,45865,Jackson,05080001 - Upper Great Miami,Swine - over 55 lbs,4800,,,528.0528052805281
33,Highslip Pork,7665 Township Road 105,Kenton,Hardin,OH,43326,Cessna,04100008 - Blanchard,Swine - over 55 lbs,4200,,,462.04620462046205
34,Hillside Acres,22051 County Road 48,Grover Hill,Paulding,OH,45849,Washington,04100007 - Auglaize,Swine - over 55 lbs,8800,,,968.0968096809681
35,Hummel Hog Farm,13930 Rhynard-Fink Road,Rossburg,Darke,OH,45362,Allen,05120101 - Upper Wabash,Swine - over 55 lbs,3840,,,422.44224422442244
36,"J & K Swine Farm, LLC",11054 Michael Road,Ansonia,Darke,OH,45303,Brown,05080001 - Upper Great Miami,Swine - over 55 lbs,4900,,,539.0539053905391
37,Jackson & Son,1048 ST RT 235N,DeGraff,Logan,OH,43318,Washington,05080001 - Upper Great Miami,Swine - over 55 lbs,8500,,,935.0935093509352
38,Jeff and Alan Ricker Swine,21150 Monticello-Spencerville Road,Spencerville,Van Wert,OH,45887,Jennings,04100007 - Auglaize,Swine - over 55 lbs,4900,Turkey,24000.0,539.0539053905391
39,"John Fleck & Sons, Inc.",3381 Harrison Rd.,Celina,Mercer,OH,43822,Franklin,05120101 - Upper Wabash,Beef,2070,Swine - over 55 lbs,5200.0,572.057205720572
40,Jordan Farms,654 North State Line Road,Eaton,Preble,OH,45320,Jackson,05080002 - Lower Great Miami,Swine - over 55 lbs,7431,Swine - under 55 lbs,2800.0,1125.5225522552255
41,"KFS Farms, LLC",1630 State Route 707,Rockford,Mercer,OH,45882,Black Creek,04100004 - St. Marys,Beef,820,Swine - over 55 lbs,7680.0,844.8844884488449
42,KMLS Farms LLC,3626 St. Rt. 65,Leipsic,Putnam,OH,45856,Sugar Creek,04100009 - Lower Maumee,Swine - over 55 lbs,3488,Swine - under 55 lbs,200.0,405.72057205720574
43,"Knapke Swine Farms, LLC",12054 Bey Rd.,Versailles,Darke,OH,45380,Wayne,05080001 - Upper Great Miami,Swine - over 55 lbs,7680,,,844.8844884488449
44,Landes Hog Farm,1125 Lewisburg Western Road,Lewsiurg,Preble,Ohio,45338,Monroe,05080002 - Lower Great Miami,Swine - over 55 lbs,4900,Beef,400.0,539.0539053905391
45,Luginbill Swine Farm,3311 State Rt. 707,Rockford,Mercer,OH,45882,Dublin,04100004 - St. Marys,Swine - over 55 lbs,4800,,,528.0528052805281
46,Mark and Marie Osterholt Farm,1289 Burrville Road,Ft. Recovery,Mercer,OH,45846,Gibson,05120101 - Upper Wabash,Swine - over 55 lbs,2880,Turkey,6000.0,316.83168316831683
47,Massies Creek Sow Unit,9219 Columbus Xenia Road,South Solon,Clark,OH,43153,Madison,05090202 - Little Miami,Swine - over 55 lbs,6576,,,723.4323432343234
48,McChesney Enterprises Inc.,2636 Twp. Rd. 136,Edison,Morrow,OH,43320,Cardington,05060001 - Upper Scioto,Swine - over 55 lbs,9200,,,1012.1012101210122
49,"Millco, Inc.",1752 Beamsville Union City Road,Union City,Darke,OH,45390,Jackson,05080001 - Upper Great Miami,Swine - over 55 lbs,3000,,,330.03300330033005
50,Neal Kremer,9159 St. Rt. 118,Ansonia,Darke,OH,45303-9778,Brown,05080001 - Upper Great Miami,Swine - over 55 lbs,4400,,,484.04840484048407
51,Nofziger Livestock,18482 County Rd K,Wauseon,Fulton,Ohio,43567,Dover,04100006 - Tiffin,Swine - over 55 lbs,10000,,,1100.1100110011
52,Oberholtzer Hog Corporation,1053 Township Road 1806,Ashland,Ashland,OH,44805,Vermillion,05040002 - Mohican,Swine - over 55 lbs,3986,,,438.5038503850385
53,"Overholt Hog Farm, LLC",9335 Sparta Rd.,Fredericktown,Knox,OH,43019,Wayne,05040003 - Walhonding,Swine - over 55 lbs,7200,,,792.0792079207921
54,"Pessefall Farms, LLC",12742 Road 191,Oakwood,Paulding,OH,45873,Brown,04100007 - Auglaize,Swine - over 55 lbs,5200,,,572.057205720572
55,PGC Chesterfield Hogs,16300 Co Ro N,Wauseon,Fulton,OH,43567,Chesterfield,04100006 - Tiffin,Swine - over 55 lbs,4800,,,528.0528052805281
56,Pheasant Run,09504 Farmer-Mark Rd.,Mark Center,Defiance,OH,43536,Mark,04100005 - Upper Maumee,Swine - over 55 lbs,7350,,,808.5808580858086
57,Pitstick Pork Farm,1146 Herr Road,Fairborn,Greene,OH,45324,Bath,05080001 - Upper Great Miami,Swine - over 55 lbs,4745,Swine - under 55 lbs,2400.0,786.0286028602861
58,Profit Family Pork,14380 Wren-Landeck Road,Van Wert,Van Wert,Ohio,45891,York,04100007 - Auglaize,Swine - over 55 lbs,4800,,,528.0528052805281
59,"Ralph Jutte Farms, Inc.",492 Cummins Rd.,Fort Recovery,Mercer,OH,45846,Recovery,05120101 - Upper Wabash,Swine - over 55 lbs,3840,Turkey,3500.0,422.44224422442244
60,"Ringler Livestock, LLC",1297 Co. Rd. 159,Ashley,Morrow,OH,43003,Westfield,05060001 - Upper Scioto,Swine - over 55 lbs,7000,,,770.0770077007701
61,Riverbend Sow Complex,23378 SR 66,Oakwood,Paulding,OH,45873,Washington,04100007 - Auglaize,Swine - over 55 lbs,3500,,,385.03850385038504
62,"RK Swine (formerly D & N Swine Farm, LLC and Livingston...)",1828 Rossburg-Lightsville Rd,New Weston,Darke,OH,45348,Mississinawa,05120103 - Mississinewa,Swine - over 55 lbs,3840,,,422.44224422442244
63,Roger and Lori Rader Farms,3141 TR 118,McComb,Hancock,OH,45858,Pleasant,04100010 - Cedar-Portage,Swine - over 55 lbs,4000,,,440.04400440044003
64,Rose Grove Farm,17325 Road 72,Grover Hill,Paulding,OH,45849,Latty,04100007 - Auglaize,Swine - over 55 lbs,2988,,,328.71287128712873
65,Sager Family Pork,2114 Carter Rd.,LaRue,Marion,OH,43332,Bowling Green,05060001 - Upper Scioto,Swine - over 55 lbs,5499,,,604.950495049505
66,Schmidt Swine Farm,509 Borradaile Rd.,Eaton,Preble,OH,45320,Dixon,05080002 - Lower Great Miami,Swine - over 55 lbs,4800,,,528.0528052805281
67,"Schweinefarmen, LLC",6740 Road 72,Payne,Paulding,Ohio,45880,Benton,04100007 - Auglaize,Swine - over 55 lbs,4800,,,528.0528052805281
68,Scioto Prairie,1001 Scioto Chapel Road,Bucyrus,Crawford,OH,44820,Bucyrus,04100011 - Sandusky,Swine - over 55 lbs,6652,,,731.7931793179318
69,Sheldon Farms,9612 Twp. Road 64,Kenton,Hardin,OH,43326,Washington,04100007 - Auglaize,Swine - over 55 lbs,4000,,,440.04400440044003
70,"Shockney & Son, Inc.",6669 Ohio-Indiana State Line Road,Union City,Darke,OH,45390,Washington,05080001 - Upper Great Miami,Swine - over 55 lbs,4000,,,440.04400440044003
71,Siefring Farm,2564 Siegrist Jutte Rd,Ft. Recovery,Mercer,OH,45846,Recovery,05120101 - Upper Wabash,Swine - over 55 lbs,5760,Beef,130.0,633.6633663366337
72,"Spitnale Pig, Ltd.",21764 Rd. I 17,Cloverdale,Putnam,OH,45827,Perry,04100007 - Auglaize,Swine - over 55 lbs,4800,,,528.0528052805281
73,Straathof Sow Farm,28254 Egypt Pike Road,New Holland,Pickaway,OH,43145,Perry,05060003 - Paint,Swine - over 55 lbs,7968,,,876.5676567656766
74,"Straathof Swine, LLC",7111 Old US Route 35 SE,Washington Court House,Fayette,OH,43160,Wayne,05060003 - Paint,Swine - over 55 lbs,5760,,,633.6633663366337
75,"Strickler Farms, LLC",7600 Strickler Rd.,Amanda,Fairfield,OH,43102,Clear Creek,05030204 - Hocking,Swine - over 55 lbs,3500,Swine - under 55 lbs,1000.0,495.049504950495
76,Tillman Farms,14350 State Route 119,Anna,Shelby,OH,45302,Franklin,05080001 - Upper Great Miami,Swine - over 55 lbs,4000,,,440.04400440044003
77,Tim Sinn Family Hog Farm,13724 Road 82,Paulding,Paulding,OH,45879,Latty,04100007 - Auglaize,Swine - over 55 lbs,4800,,,528.0528052805281
78,"Triple R Farms, Inc.",11845 Gamble Road ,Van Wert,Van Wert,OH,45891,Ridge,04100007 - Auglaize,Swine - over 55 lbs,7200,,,792.0792079207921
79,Tuck Farms,7895 Parker Road,Bloomville,Crawford,OH,44818,Lykens,04100011 - Sandusky,Swine - over 55 lbs,4400,,,484.04840484048407
80,"Tuente Farms, Inc",8500 Darke-Shelby County Line Road,Yorkshire,Shelby,OH,45388,Cynthian,05080001 - Upper Great Miami,Swine - over 55 lbs,5783,,,636.1936193619362
81,"Vandenhengel Pork, LLC",1416 John Yoh Road,Scott,Van Wert,OH,45886,Hoaglin,04100007 - Auglaize,Swine - over 55 lbs,7350,,,808.5808580858086
82,Veitch Farms,3105 SR 121,Greenville,Darke,OH,45331,Neave,05080001 - Upper Great Miami,Swine - under 55 lbs,12000,,,1320.1320132013202
83,"Wagner Pork, LLC",7988 County Road 29,Upper Sandusky,Wyandot,OH,43351,Tyemochte,04100011 - Sandusky,Swine - over 55 lbs,3750,,,412.54125412541254
84,Wallace Farms,16241 Louisville Street,Homeworth,Stark,OH,44634,Washington,05040001 - Tuscarawas,Swine - over 55 lbs,3300,,,363.036303630363
85,White Oak Farm,4604 Road 165,Grover Hill,Paulding,OH,45849,Washington,04100007 - Auglaize,Swine - over 55 lbs,2776,,,305.3905390539054
86,"Willow Tree Swine, LLC",4126 Township Rd. 49,Payne,Paulding,OH,45880,Benton,04100007 - Auglaize,Swine - over 55 lbs,9600,,,1056.1056105610562
87,Woodbury Hogs,10697 Ohio-Indiana State Line Road,Union City,Darke,OH,45390,Jackson,05120103 - Mississinewa,Swine - over 55 lbs,3840,,,422.44224422442244
88,Worden Farms,111 Goldsmith Rd.,Caledonia,Crawford,OH,43314,Whetstone,05060001 - Upper Scioto,Swine - over 55 lbs,4620,,,508.25082508250824
89,Wuebker-School Rd. Facility,13968 School Rd.,Ft.Recovery,Darke,OH,46843,Mississinawa,05120103 - Mississinewa,Swine - under 55 lbs,3840,,,422.44224422442244
90,"Ynot Farms, LLC",750 Counts Road,South Solon,Madison,OH,43153,Range,05060003 - Paint,Swine - over 55 lbs,5465,Swine - under 55 lbs,9792.0,1678.4378437843784
